,matches,company_number,address,links,snippet,description_identifier,description,kind,company_type,company_status,address_snippet,title,date_of_creation,date_of_cessation
38,"{'snippet': [], 'title': [1, 5]}",13767918,"{'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane 4th Floor', 'postal_code': 'WC2B 5SQ', 'country': 'United Kingdom'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
39,"{'snippet': [], 'title': [1, 5]}",11894148,"{'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'premises': '55 ', 'address_line_1': 'Drury Lane', 'locality': 'London'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
40,"{'title': [1, 5], 'snippet': []}",08112276,"{'postal_code': 'W1J 6HN', 'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
41,"{'title': [1, 5], 'snippet': []}",08787921,"{'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'country': 'England', 'postal_code': 'W1J 6HN'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
42,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'address_line_2': '4th Floor', 'country': 'England', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
43,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'postal_code': 'WC2B 5SQ', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'country': 'England'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
44,"{'snippet': [], 'title': [1, 5]}",08198098,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'country': 'England', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
45,"{'snippet': [], 'title': [1, 5]}",13767918,"{'address_line_1': 'Drury Lane 4th Floor', 'premises': '55', 'locality': 'London', 'country': 'United Kingdom', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
46,"{'snippet': [], 'title': [1, 5]}",11894148,"{'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane', 'premises': '55 ', 'locality': 'London', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
47,"{'snippet': [], 'title': [1, 5]}",08112276,"{'premises': '25 ', 'locality': 'London', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
48,"{'title': [1, 5], 'snippet': []}",08787921,"{'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'country': 'England', 'postal_code': 'W1J 6HN'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
49,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'country': 'England', 'premises': '55', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'locality': 'London'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
50,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'locality': 'London', 'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
51,"{'snippet': [], 'title': [1, 5]}",08198098,"{'address_line_1': 'Drury Lane', 'premises': '55', 'country': 'England', 'locality': 'London', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
52,"{'title': [1, 5], 'snippet': []}",13767918,"{'address_line_1': 'Drury Lane 4th Floor', 'premises': '55', 'country': 'United Kingdom', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
53,"{'title': [1, 5], 'snippet': []}",11894148,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'locality': 'London', 'premises': '55 ', 'country': 'England', 'address_line_1': 'Drury Lane'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
54,"{'title': [1, 5], 'snippet': []}",08112276,"{'address_line_1': 'Berkeley Square', 'premises': '25 ', 'locality': 'London', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
55,"{'title': [1, 5], 'snippet': []}",08787921,"{'postal_code': 'W1J 6HN', 'locality': 'London', 'country': 'England', 'premises': '25 ', 'address_line_1': 'Berkeley Square'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
56,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_2': '4th Floor', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane', 'country': 'England', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
57,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_1': 'Drury Lane', 'premises': '55', 'address_line_2': '4th Floor', 'locality': 'London'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
58,"{'title': [1, 5], 'snippet': []}",08198098,"{'premises': '55', 'address_line_1': 'Drury Lane', 'country': 'England', 'address_line_2': '4th Floor', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
59,"{'snippet': [], 'title': [1, 5]}",13767918,"{'premises': '55', 'address_line_1': 'Drury Lane 4th Floor', 'country': 'United Kingdom', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
60,"{'snippet': [], 'title': [1, 5]}",11894148,"{'postal_code': 'WC2B 5SQ', 'premises': '55 ', 'address_line_1': 'Drury Lane', 'country': 'England', 'locality': 'London', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
61,"{'snippet': [], 'title': [1, 5]}",08112276,"{'locality': 'London', 'address_line_1': 'Berkeley Square', 'premises': '25 ', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
62,"{'title': [1, 5], 'snippet': []}",08787921,"{'postal_code': 'W1J 6HN', 'address_line_1': 'Berkeley Square', 'premises': '25 ', 'country': 'England', 'locality': 'London'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
